Flight Number,Airline,Origin,Destination,Date of arrival,Close Contact Rows
QR906,Qatar Airways,Doha,Sydney,17-Mar-20,"16, 17, 18, 19, 20"
SA280,South African Airways,Johannesburg,Perth,17-Mar-20,"1,2,3"
SQ319,Singapore Airlines,London,Singapore,17-Mar-20,"51, 52, 53, 54, 55"
VA8,Virgin Australia,Los Angeles,Brisbane,17-Mar-20,"1,2,3,4"
QF520,Qantas,Sydney,Brisbane,16-Mar-20,"5,6,7,8,9, 10,11,12,13,14, 23, 24, 25, 26, 27, 28, 29,"
VA931,Virgin Airlines,Sydney,Brisbane,16-Mar-20,"24, 25, 26, 27, 28, 29"
VA931,Virgin Airlines,Sydney,Brisbane,16-Mar-20,"19, 20, 21, 22, 23"
VA939,Virgin Airlines,Sydney,Brisbane,16-Mar-20,Further information pending
QF2326,Qantas,Brisbane,Bundaberg,16-Mar-20,"6,7,8,9,10"
B10009,Royal Brunei Airlines,Brunei,Brisbane,16-Mar-20,"33, 34, 35, 36, 37"
BA15,British Airways,Singapore,Sydney,16-Mar-20,Further information pending
D7200,Air Asia,Kuala Lumpur,Gold Coast,16-Mar-20,Further information pending
DL41,Delta Airlines,Los Angeles,Sydney,16-Mar-20,"53, 54, 55, 56, 57"
EK052,Emirates,Dubai,Brisbane,16-Mar-20,"55,56,57,58,59"
EK412,Emirates,Dubai,Sydney,16-Mar-20,17/03/2020
EK434,Emirates,Madrid,Brisbane,16-Mar-20,Further information pending
EY450,Etihad,Abu Dhabi,Sydney,16-Mar-20,Further information pending
EY654,Etihad,Cairo,Abu Dahbi,16-Mar-20,Further information pending
FQ235,Singapore Airlines,London,Brisbane,16-Mar-20,Further information pending
HA443,Hawaii Airlines,Hawaii,Brisbane,16-Mar-20,Further information pending
MZ135,Air New Zealand,Auckland,Brisbane,16-Mar-20,"24,25,26,27,28"
QF2,Qantas,London,Singapore,16-Mar-20,Further information pending
QF52,Qantas,Singapore,Brisbane,16-Mar-20,Further information pending
QF62,Qantas,Tokyo,Brisbane,16-Mar-20,"27,28,29,30,31"
SQ235,Singapore Airlines,Singapore,Brisbane,16-Mar-20,"18,19,20,21,22"
QF2422,Qantas,Newcastle,Brisbane,15-Mar-20,"3,4,5,6,7"
QF866,Qantas,Sydney,Hamilton Island,15-Mar-20,"22,23,24,25,26"
VA0997,Virgin Airlines,Sydney,Brisbane,15-Mar-20,"17,18,19,20,21"
VA1497,Virgin Airlines,Brisbane,Hamilton Island,15-Mar-20,"21,22,23,24,25"
VA357,Virgin Airlines,Melbourne,Brisbane,15-Mar-20,"5, 6, 7, 8, 9"
BI14,Royal Brunei Airlines,London,Brunei,15-Mar-20,"42,43,44,45,46"
CX157,Finnair,Hong Kong,Brisbane,15-Mar-20,Further information pending
CX252,Finnair,London,Hong Kong,15-Mar-20,Further information pending
EK0434,Emirates,Dubai,Brisbane,15-Mar-20,"70,71,72,73,74"
EY0032,Etihad,Paris,Abu Dhabi,15-Mar-20,Further information pending
EY460,Etihad,Abu Dhabi,Melbourne,15-Mar-20,"20, 21, 22, 23, 24"
EY484,Etihad,Abu Dhabi,Brisbane,15-Mar-20,"34, 35, 36, 37"
MH135,Malaysia Airlines,Kuala Lumpur,Brisbane,15-Mar-20,Further information pending
PR221,Philippine Airlines,Manila,Brisbane,15-Mar-20,Further information pending
QF 98,Qantas,Hong Kong,Brisbane,15-Mar-20,"1, 2, 3, 4"
QF52,Qantas,Singapore,Brisbane,15-Mar-20,"47, 48, 49, 50, 51"
QR908,Qatar Airways,Doha,Sydney,15-Mar-20,"26,27,28,29"
SQ235,Singapore Airlines,Singapore,Brisbane,15-Mar-20,"66,67,68, 69, 70"
DL2272,Delta Airlines,Salt Lake City,Los Angeles,14-Mar-20,"19, 20, 21, 22, 23"
EK010,Emirates,London,Dubai,14-Mar-20,
EY450,Etihad,Abu Dhabi,Sydney,14-Mar-20,"23,24,25,26,27"
HA443,Hawaiian Airlines,Honalulu,Brisbane,14-Mar-20,"41,42,43,44,45"
QF126,Qantas,Auckland,Brisbane,14-Mar-20,"34, 35,36, 37, 38, 39, 40, 41"
QF16,Qantas,Los Angeles,Brisbane,14-Mar-20,"2, 3, 4, 9, 10, 11, 12, 13, 20, 21, 22, 23, 24, 39, 40, 41, 42, 43"
QF52,Qantas,Singapore,Brisbane,14-Mar-20,"45, 46, 47, 48"
SQ245,Singapore Airlines,Singapore,Brisbane,14-Mar-20,"49, 50, 51, 52, 53"
QF619,Qantas,Brisbane,Melbourne,13-Mar-20,Further information pending
QF632,Qantas,Melbourne,Brisbane,13-Mar-20,Further information pending
QF971,Qantas,Townsville,Brisbane,13-Mar-20,Further information pending
VA799,Virgin Airlines,Brisbane,Cairns,13-Mar-20,"5, 6, 7, 8, 9"
EK430 / QF8430,Emirates,Dubai,Brisbane,13-Mar-20,"29, 30, 31, 32, 33"
EK434,Emirates,Dubai,Brisbane,13-Mar-20,"63, 64, 65, 66, 67"
JQ12,Jetstar,Tokyo,Brisbane,13-Mar-20,"46, 47, 48, 49, 50"
QF2,Qantas,Heathrow,Singapore,13-Mar-20,"53, 54, 55, 56, 57"
QF52,Qantas,Singapore,Brisbane,13-Mar-20,"1, 2, 3, 4, 5, 6, 7, 8"
QR60,Qatar Airways,Munich,Doha,13-Mar-20,"42,43,44,45,46"
