Flight Number,Airline,Origin,Destination,Date of arrival
VA0997,Virgin Airlines,Sydney,Brisbane,15-Mar-20
VA1497,Virgin Airlines,Brisbane,Hamilton Island,15-Mar-20
VA357,Virgin Airlines,Melbourne,Brisbane,15-Mar-20
HA443,Hawaiian Airlines,Honalulu,Brisbane,14-Mar-20
QF126,Qantas,Auckland,Brisbane,14-Mar-20
QF16,Qantas,Los Angeles,Brisbane,14-Mar-20
QF52,Qantas,Singapore,Brisbane,14-Mar-20
QF74,Qantas,San Francisco,Brisbane,14-Mar-20
SQ245,Singapore Airlines,Singapore,Brisbane,14-Mar-20
EK430/ QF8430,Emirates,Dubai,Brisbane,13-Mar-20
EK434,Emirates,Dubai,Brisbane,13-Mar-20
JQ12,Jetstar,Tokyo,Brisbane,13-Mar-20
QF52,Qantas,Singapore,Brisbane,13-Mar-20
QF619,Qantas,Brisbane,Melbourne,13-Mar-20
QF632,Qantas,Melbourne,Brisbane,13-Mar-20
QF971,Qantas,Townsville,Brisbane,13-Mar-20
VA799,Virgin Airlines,Brisbane,Cairns,13-Mar-20
EY484,Etihad,Abu Dhabi,Brisbane,12-Mar-20
QF 52,Singapore Airlines,Singapore,Brisbane,12-Mar-20
QF1786,Qantas,Brisbane,Townsville,12-Mar-20
QF556,Qantas,Sydney,Brisbane,12-Mar-20
QF650,Qantas,Perth,Brisbane,12-Mar-20
